Name,Building,Doc Type
CTY_11260_HED_ToAlphaMec_Submittal230700.001.1.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230800.001.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230900.001.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230900.002.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230900.003.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230900.004.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToALPHAMEC_Submittal230910.001.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230910.002.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToALPHAMEC_Submittal232113.001.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToALPHAMEC_Submittal232114.001.1.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToALPHAMEC_Submittal232114.002.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToALPHAMEC_Submittal232114.003.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToALPHAMEC_Submittal233113.001.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToALPHAMEC_Submittal233114.001.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal233114.003.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToALPHAMEC_Submittal233118.001.2.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToALPHAMEC_Submittal233118.001.3.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToALPHAMEC_Submittal233300.001.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToALPHAMEC_Submittal233600.001.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToALPHAMEC_Submittal233713.001.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToALPHAMEC_Submittal233713.002.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToALPHAMEC_Submittal237314.001.0.pdf,Science Building,Submittal/Shop Dwg
